Kraj;Rok;PKB_per_capita;naklady_edu;Total fixed assets (gross);Labor force, total
Ireland;2014;51154,46268;0,8198135;40224;2267426
Ireland;2015;69042,76812;0,6781964;63323,8;2283088
Ireland;2016;71697,52874;0,6650653;96715,9;2321777
Ireland;2017;78655,62619;0,6086942;98733,5;2344215
Italy;2008;35523,27131;0,641295;348467,7;24708566
Italy;2009;34628,39721;0,6445709;317194,3;24506451
Italy;2010;35185,29289;0,6306764;322646,2;24462579
Italy;2011;36598,01497;0,6193513;325033,6;24477992
Italy;2012;36486,29679;0,6018897;297404,8;25033693
Italy;2013;36314,6971;0,6276676;277467,2;25171796
Italy;2014;36194,87392;0,6072653;272137,5;25569875
Italy;2015;36899,38521;0,5687661;280342,1;25540323
Italy;2016;39926,95466;0,5426367;291183,5;25812534
Italy;2017;41581,12079;0,5551374;303569,9;25985393
Latvia;2008;19519,62985;0,8663918;7816;1150453
Latvia;2009;16975,8847;0,6751545;4205,4;1106548
Latvia;2010;17656,51205;0,707127;3417,4;1063015
Latvia;2011;19879,20273;0,8646631;4523,1;1035943
Latvia;2012;21407,51973;0,8138348;5751;1041140
Latvia;2013;22812,91509;0,8444702;5532,9;1020645
Latvia;2014;23803,8094;1,031085;5385,9;1006084
Latvia;2015;24961,35468;1,083642;5372,2;1008427
Latvia;2016;26710,1028;0,6740074;4898,7;1006975
Latvia;2017;28650,00776;0,6276921;5558,6;1003671
Netherlands;2008;46420,20168;0,9983744;143141;8767595
Netherlands;2009;44589,71915;1,089515;133128;8853313
Netherlands;2010;45078,31814;1,120781;125898;8829489
Netherlands;2011;46599,02103;1,125165;130965;8849590
Netherlands;2012;47272,10302;1,143302;122505;8961065
Netherlands;2013;49241,51784;1,153453;121237;8987420
Netherlands;2014;49233,2154;1,15734;118138;8966340
Netherlands;2015;50288,59139;1,154288;152533;9034853
Netherlands;2016;52288,41508;1,143769;141675;9051471
Netherlands;2017;55088,6338;1,128303;148670;9110882
Poland;2008;18303,35292;1,019805;84576,7;17563323
Poland;2009;19254,09228;1,034234;67984,6;17831377
Poland;2010;21088,61633;1,0124;73389,2;18036276
Poland;2011;22827,69814;0,9609058;78647,5;18103432
Poland;2012;23745,6978;0,9844868;77055;18227655
Poland;2013;24567,50617;1,070534;74257,3;18269724
Poland;2014;25475,50469;1,050432;81110,1;18388510
Poland;2015;26862,05252;1,085285;86396,1;18315209
Poland;2016;28322,10698;0,931963;76781;18378290
Poland;2017;30064,50348;0,9533964;81920,4;18444328
Portugal;2008;26665,8373;0,7728194;40929;5547731
Portugal;2009;26478,36897;0,8785128;37191,1;5492080
Portugal;2010;27282,75084;0,9102976;36952,8;5489663
Portugal;2011;26769,51189;0,8535207;32437,4;5431231
Portugal;2012;26438,0163;0,6703711;26631,5;5388428
Portugal;2013;27936,03966;0,7363031;25150,3;5296912
Portugal;2014;28742,44038;0,7698035;26012,7;5240929
Portugal;2015;29660,89607;0,7491929;27886,5;5216570
Portugal;2016;31607,75424;0,7073579;28893,4;5203952
Portugal;2017;33044,71674;0,6994143;32887,7;5248383
Slovak Republic;2008;23725,85776;0,6088505;16359,7;2681978
Slovak Republic;2009;23097,56599;0,6176396;13332,7;2672080
Slovak Republic;2010;25209,34706;0,6175831;14452,5;2683556
Slovak Republic;2011;26082,75847;0,7282082;16636,6;2686049
Slovak Republic;2012;26967,12536;0,7370668;15001,3;2710897
Slovak Republic;2013;28002,49741;0,7984087;15244,3;2718461
Slovak Republic;2014;28996,86679;0,8090094;15635,5;2724189
Slovak Republic;2015;29919,65967;1,226328;18971;2739823
Slovak Republic;2016;29659,37178;0,6964093;17091,3;2763962
Slovak Republic;2017;30077,84553;0,655232;17869,4;2762066
Spain;2008;33263,2724;0,9418286;308857;23072041
Spain;2009;32116,00447;1,018049;247155;23335479
Spain;2010;31706,8774;1,03082;233732;23534138
Spain;2011;31867,97324;1,005349;212984;23571937
Spain;2012;31720,12;0,9129882;191038;23582846
Spain;2013;32434,0032;0,8837213;177240;23385043
Spain;2014;33525,74063;0,8574864;183515;23181794
Spain;2015;34903,12748;0,8518408;194122;23116192
Spain;2016;37286,21343;0,8172237;200048;23102718
Spain;2017;39528,92539;0,8292834;216932;23046661
Sweden;2008;42158,2957;1,278797;87110,4;4891961
Sweden;2009;40309,11254;1,423215;70773,9;4908471
Sweden;2010;42256,16212;1,428514;84270,5;4943074
Sweden;2011;44608,58026;1,39363;94516,6;5001509
Sweden;2012;45432,43197;1,421708;97719,6;5036384
Sweden;2013;46312,39238;1,435052;99175,5;5100683
Sweden;2014;47184,66913;1,42181;101934,4;5143977
Sweden;2015;49103,13343;1,352481;108195,6;5186870
Sweden;2016;50430,25282;1,347826;112885,6;5252218
Sweden;2017;51947,95425;1,316297;120661,5;5337330

